milestone_id,project_id,milestone_name,milestone_type,planned_date,actual_date,status,completion_percentage,budget_allocated,budget_spent,responsible_person,created_date,updated_date
MLS001,PRJ001,เริ่มโครงการ - โครงการอาคารที่พักอาศัย แห่งที่ 1,เริ่มโครงการ,2025-04-29,,ยกเลิก,73,73040000,64275200,สมชาย วงศ์ใหญ่,2023-04-25,2024-06-24
MLS002,PRJ001,งานตกแต่ง - โครงการอาคารที่พักอาศัย แห่งที่ 1,งานตกแต่ง,2024-07-05,2024-07-13,กำลังดำเนินการ,43,73040000,50397600,สมชาย วงศ์ใหญ่,2023-04-25,2024-06-24
MLS003,PRJ001,เริ่มโครงการ - โครงการอาคารที่พักอาศัย แห่งที่ 1,เริ่มโครงการ,2025-01-18,2025-01-11,เสร็จสิ้น,10,89640000,76194000,สมชาย วงศ์ใหญ่,2023-04-25,2024-06-24
MLS004,PRJ001,งานระบบ - โครงการอาคารที่พักอาศัย แห่งที่ 1,งานระบบ,2025-01-31,2025-01-29,ยกเลิก,25,46480000,41832000,สมชาย วงศ์ใหญ่,2023-04-25,2024-06-24
MLS005,PRJ001,งานระบบ - โครงการอาคารที่พักอาศัย แห่งที่ 1,งานระบบ,2024-12-08,,ยกเลิก,94,53120000,50464000,สมชาย วงศ์ใหญ่,2023-04-25,2024-06-24
MLS006,PRJ002,วางฐานราก - โครงการลานจอดรถ ปรับปรุง 2,วางฐานราก,2024-11-22,2024-12-09,ยกเลิก,11,23200000,23896000,ราชันย์ สุขศรี,2024-07-28,2024-11-16
MLS007,PRJ002,เริ่มโครงการ - โครงการลานจอดรถ ปรับปรุง 2,เริ่มโครงการ,2025-04-24,2025-05-07,เสร็จสิ้น,44,24360000,17539200,ราชันย์ สุขศรี,2024-07-28,2024-11-16
MLS008,PRJ002,งานตกแต่ง - โครงการลานจอดรถ ปรับปรุง 2,งานตกแต่ง,2025-04-20,2025-04-29,ยกเลิก,56,17400000,14268000,ราชันย์ สุขศรี,2024-07-28,2024-11-16
MLS009,PRJ002,งานตกแต่ง - โครงการลานจอดรถ ปรับปรุง 2,งานตกแต่ง,2024-12-11,2024-12-15,เสร็จสิ้น,19,18560000,19116800,ราชันย์ สุขศรี,2024-07-28,2024-11-16
MLS010,PRJ002,ส่งมอบงาน - โครงการลานจอดรถ ปรับปรุง 2,ส่งมอบงาน,2025-05-09,,ยังไม่เริ่ม,31,15080000,16135600,ราชันย์ สุขศรี,2024-07-28,2024-11-16
MLS011,PRJ003,ส่งมอบงาน - โครงการโรงพยาบาล แห่งที่ 3,ส่งมอบงาน,2025-08-23,,ยังไม่เริ่ม,39,39300000,31833000,วิภา สุขสม,2023-06-09,2024-08-17
MLS012,PRJ003,งานระบบ - โครงการโรงพยาบาล แห่งที่ 3,งานระบบ,2025-02-19,2025-02-22,กำลังดำเนินการ,69,106110000,77460300,วิภา สุขสม,2023-06-09,2024-08-17
MLS013,PRJ003,งานตกแต่ง - โครงการโรงพยาบาล แห่งที่ 3,งานตกแต่ง,2025-07-12,2025-08-01,กำลังดำเนินการ,88,113970000,120808200,วิภา สุขสม,2023-06-09,2024-08-17
MLS014,PRJ003,ทดสอบระบบ - โครงการโรงพยาบาล แห่งที่ 3,ทดสอบระบบ,2025-05-31,2025-06-27,เสร็จสิ้น,21,102180000,63351600,วิภา สุขสม,2023-06-09,2024-08-17
MLS015,PRJ003,เริ่มโครงการ - โครงการโรงพยาบาล แห่งที่ 3,เริ่มโครงการ,2024-11-15,2024-12-14,เลื่อนออกไป,83,70740000,44566200,วิภา สุขสม,2023-06-09,2024-08-17
MLS016,PRJ004,เริ่มโครงการ - โครงการอาคารที่พักอาศัย ขยาย 4,เริ่มโครงการ,2025-09-24,,ยังไม่เริ่ม,2,65940000,75831000,ราชันย์ สุขศรี,2023-05-08,2024-11-27
MLS017,PRJ004,โครงสร้างหลัก - โครงการอาคารที่พักอาศัย ขยาย 4,โครงสร้างหลัก,2026-06-18,2026-07-02,ยังไม่เริ่ม,40,81640000,85722000,ราชันย์ สุขศรี,2023-05-08,2024-11-27
MLS018,PRJ004,งานระบบ - โครงการอาคารที่พักอาศัย ขยาย 4,งานระบบ,2026-04-26,2026-04-27,เลื่อนออกไป,71,50240000,46220800,ราชันย์ สุขศรี,2023-05-08,2024-11-27
MLS019,PRJ004,ทดสอบระบบ - โครงการอาคารที่พักอาศัย ขยาย 4,ทดสอบระบบ,2024-09-14,2024-10-07,เลื่อนออกไป,50,59660000,48324600,ราชันย์ สุขศรี,2023-05-08,2024-11-27
MLS020,PRJ005,เริ่มโครงการ - โครงการโรงเรียน ขยาย 5,เริ่มโครงการ,2026-01-20,,เสร็จสิ้น,30,5880000,5880000,ประเสริฐ แก้วมี,2023-04-30,2024-04-01
MLS021,PRJ005,งานตกแต่ง - โครงการโรงเรียน ขยาย 5,งานตกแต่ง,2025-08-27,,เลื่อนออกไป,3,8400000,6384000,ประเสริฐ แก้วมี,2023-04-30,2024-04-01
MLS022,PRJ005,งานตกแต่ง - โครงการโรงเรียน ขยาย 5,งานตกแต่ง,2025-09-05,2025-09-16,กำลังดำเนินการ,11,6160000,6283200,ประเสริฐ แก้วมี,2023-04-30,2024-04-01
MLS023,PRJ005,ทดสอบระบบ - โครงการโรงเรียน ขยาย 5,ทดสอบระบบ,2026-04-02,2026-05-01,กำลังดำเนินการ,53,8400000,8652000,ประเสริฐ แก้วมี,2023-04-30,2024-04-01
