vendor_id,vendor_name,vendor_type,contact_person,phone,email,address,rating,total_contracts,total_value,payment_terms,created_date,updated_date
VDR001,บริษัท BC จำกัด,ผู้จำหน่ายอุปกรณ์,คุณประเสริฐ มณีแสง,083885-9548,contact1@vendor1.com,766 ถนนพหลโยธิน ปทุมธานี,5.0,35,129000000,60 วัน,2023-01-01,2024-12-15
VDR002,บริษัท CD จำกัด,ผู้จำหน่ายอุปกรณ์,คุณธนา เพชรดี,085022-2419,contact2@vendor2.com,385 ถนนวิภาวดี กรุงเทพฯ,4.5,41,166000000,60 วัน,2023-01-01,2024-12-15
VDR003,บริษัท DE จำกัด,ผู้เช่าเครื่องจักร,คุณสมชาย มณีแสง,086325-3979,contact3@vendor3.com,599 ถนนสุขุมวิท นนทบุรี,4.0,26,81000000,90 วัน,2023-01-01,2024-12-15
VDR004,บริษัท EF จำกัด,ผู้จำหน่ายอุปกรณ์,คุณธนา จันทร์ดี,081166-9464,contact4@vendor4.com,295 ถนนรัชดา กรุงเทพฯ,4.5,36,152000000,30 วัน,2023-01-01,2024-12-15
VDR005,บริษัท FG จำกัด,ผู้จำหน่ายอุปกรณ์,คุณราชันย์ มณีแสง,088342-1282,contact5@vendor5.com,195 ถนนพหลโยธิน กรุงเทพฯ,4.5,49,72000000,45 วัน,2023-01-01,2024-12-15
VDR006,บริษัท GH จำกัด,ผู้จำหน่ายอุปกรณ์,คุณนิภา มณีแสง,089698-6632,contact6@vendor6.com,535 ถนนเพชรบุรี นนทบุรี,4.0,49,126000000,45 วัน,2023-01-01,2024-12-15
VDR007,บริษัท HI จำกัด,ผู้เช่าเครื่องจักร,คุณธนา ทองคำ,082976-4155,contact7@vendor7.com,423 ถนนรัชดา ปทุมธานี,5.0,49,57000000,30 วัน,2023-01-01,2024-12-15
VDR008,บริษัท IJ จำกัด,ผู้จำหน่ายวัสดุ,คุณราชันย์ เพชรดี,089595-5636,contact8@vendor8.com,202 ถนนสุขุมวิท นนทบุรี,3.5,28,55000000,45 วัน,2023-01-01,2024-12-15
VDR009,บริษัท JK จำกัด,ผู้รับเหมาก่อสร้าง,คุณประเสริฐ เพชรดี,081745-1893,contact9@vendor9.com,666 ถนนพหลโยธิน ปทุมธานี,3.5,45,135000000,ชำระทันที,2023-01-01,2024-12-15
VDR010,บริษัท KL จำกัด,ผู้รับเหมาก่อสร้าง,คุณธนา มณีแสง,088843-8216,contact10@vendor10.com,448 ถนนสุขุมวิท กรุงเทพฯ,4.0,35,39000000,ชำระทันที,2023-01-01,2024-12-15
VDR011,บริษัท LM จำกัด,ผู้ให้บริการขนส่ง,คุณราชันย์ แก้วใส,081878-3485,contact11@vendor11.com,252 ถนนเพชรบุรี นนทบุรี,3.0,20,40000000,90 วัน,2023-01-01,2024-12-15
VDR012,บริษัท MN จำกัด,ผู้ให้บริการขนส่ง,คุณสุมาลี จันทร์ดี,087232-8381,contact12@vendor12.com,553 ถนนพหลโยธิน ปทุมธานี,4.5,24,155000000,90 วัน,2023-01-01,2024-12-15
VDR013,บริษัท NO จำกัด,ผู้รับเหมาก่อสร้าง,คุณวิภา ทองคำ,084457-5335,contact13@vendor13.com,776 ถนนรัชดา กรุงเทพฯ,3.5,16,151000000,ชำระทันที,2023-01-01,2024-12-15
VDR014,บริษัท OP จำกัด,ผู้จำหน่ายวัสดุ,คุณสมชาย มณีแสง,088381-8699,contact14@vendor14.com,398 ถนนรัชดา กรุงเทพฯ,4.0,50,82000000,60 วัน,2023-01-01,2024-12-15
VDR015,บริษัท PQ จำกัด,ผู้รับเหมาก่อสร้าง,คุณสุมาลี เพชรดี,084241-7965,contact15@vendor15.com,217 ถนนเพชรบุรี กรุงเทพฯ,3.5,22,46000000,ชำระทันที,2023-01-01,2024-12-15
VDR016,บริษัท QR จำกัด,ผู้รับเหมาก่อสร้าง,คุณประเสริฐ เพชรดี,085728-8195,contact16@vendor16.com,227 ถนนวิภาวดี ปทุมธานี,4.0,49,113000000,45 วัน,2023-01-01,2024-12-15
VDR017,บริษัท RS จำกัด,ที่ปรึกษา,คุณราชันย์ มณีแสง,082317-1653,contact17@vendor17.com,542 ถนนพหลโยธิน ปทุมธานี,4.0,6,33000000,30 วัน,2023-01-01,2024-12-15
VDR018,บริษัท ST จำกัด,ผู้จำหน่ายอุปกรณ์,คุณสมชาย เพชรดี,081659-3870,contact18@vendor18.com,581 ถนนเพชรบุรี ปทุมธานี,4.5,22,56000000,90 วัน,2023-01-01,2024-12-15
VDR019,บริษัท TU จำกัด,ผู้ให้บริการขนส่ง,คุณราชันย์ แก้วใส,088700-6700,contact19@vendor19.com,518 ถนนพหลโยธิน นนทบุรี,3.0,15,94000000,60 วัน,2023-01-01,2024-12-15
VDR020,บริษัท UV จำกัด,ผู้จำหน่ายอุปกรณ์,คุณราชันย์ เพชรดี,087561-1601,contact20@vendor20.com,565 ถนนรัชดา นนทบุรี,4.0,25,39000000,60 วัน,2023-01-01,2024-12-15
VDR021,บริษัท VW จำกัด,ที่ปรึกษา,คุณสมชาย จันทร์ดี,088569-7770,contact21@vendor21.com,155 ถนนสุขุมวิท ปทุมธานี,4.0,44,137000000,60 วัน,2023-01-01,2024-12-15
VDR022,บริษัท WX จำกัด,ผู้รับเหมาก่อสร้าง,คุณสุมาลี เพชรดี,089998-3146,contact22@vendor22.com,394 ถนนวิภาวดี ปทุมธานี,4.5,12,17000000,90 วัน,2023-01-01,2024-12-15
VDR023,บริษัท XY จำกัด,ผู้จำหน่ายวัสดุ,คุณประเสริฐ เพชรดี,081224-7684,contact23@vendor23.com,195 ถนนสุขุมวิท กรุงเทพฯ,4.5,12,175000000,30 วัน,2023-01-01,2024-12-15
VDR024,บริษัท YZ จำกัด,ผู้ให้บริการขนส่ง,คุณธนา จันทร์ดี,085479-7807,contact24@vendor24.com,954 ถนนวิภาวดี นนทบุรี,3.5,34,151000000,30 วัน,2023-01-01,2024-12-15
VDR025,บริษัท ZA จำกัด,ผู้ให้บริการขนส่ง,คุณสุมาลี จันทร์ดี,089327-3236,contact25@vendor25.com,984 ถนนรัชดา นนทบุรี,4.5,26,139000000,45 วัน,2023-01-01,2024-12-15
VDR026,บริษัท AB จำกัด,ผู้รับเหมาก่อสร้าง,คุณธนา เพชรดี,089022-3434,contact26@vendor26.com,557 ถนนเพชรบุรี นนทบุรี,4.0,26,151000000,90 วัน,2023-01-01,2024-12-15
VDR027,บริษัท BC จำกัด,ผู้ให้บริการขนส่ง,คุณราชันย์ เพชรดี,084090-4912,contact27@vendor27.com,685 ถนนวิภาวดี กรุงเทพฯ,4.5,7,91000000,60 วัน,2023-01-01,2024-12-15
VDR028,บริษัท CD จำกัด,ผู้จำหน่ายอุปกรณ์,คุณพจน์ มณีแสง,083492-9115,contact28@vendor28.com,137 ถนนสุขุมวิท ปทุมธานี,5.0,26,35000000,60 วัน,2023-01-01,2024-12-15
VDR029,บริษัท DE จำกัด,ผู้รับเหมาก่อสร้าง,คุณราชันย์ แก้วใส,083361-7717,contact29@vendor29.com,991 ถนนสุขุมวิท กรุงเทพฯ,4.5,21,96000000,90 วัน,2023-01-01,2024-12-15
VDR030,บริษัท EF จำกัด,ผู้จำหน่ายอุปกรณ์,คุณพจน์ แก้วใส,086383-9742,contact30@vendor30.com,489 ถนนพหลโยธิน ปทุมธานี,4.5,39,19000000,90 วัน,2023-01-01,2024-12-15
