project_id,project_name,project_type,client,project_manager,start_date,end_date,status,total_budget,location,progress_percentage,risk_level,created_date,updated_date
PRJ001,โครงการอาคารที่พักอาศัย แห่งที่ 1,สนามกีฬา,สำนักงานอุตสาหกรรมจังหวัด,สมชาย วงศ์ใหญ่,2024-05-20,2025-07-24,วางแผน,332000000,กรุงเทพฯ,0,ต่ำ,2023-04-25,2024-06-24
PRJ002,โครงการลานจอดรถ ปรับปรุง 2,สะพาน,บริษัท ปตท. จำกัด,ราชันย์ สุขศรี,2024-11-04,2025-05-30,กำลังดำเนินการ,116000000,ชลบุรี,74,ต่ำ,2024-07-28,2024-11-16
PRJ003,โครงการโรงพยาบาล แห่งที่ 3,อาคารที่พักอาศัย,สำนักงานอุตสาหกรรมจังหวัด,วิภา สุขสม,2024-06-23,2025-09-30,กำลังดำเนินการ,393000000,ระยอง,64,สูง,2023-06-09,2024-08-17
PRJ004,โครงการอาคารที่พักอาศัย ขยาย 4,สนามกีฬา,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด,ราชันย์ สุขศรี,2024-08-23,2026-08-22,หยุดชั่วคราว,314000000,สมุทรปราการ,22,ต่ำ,2023-05-08,2024-11-27
PRJ005,โครงการโรงเรียน ขยาย 5,ห้างสรรพสินค้า,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด,ประเสริฐ แก้วมี,2024-02-10,2026-12-31,กำลังดำเนินการ,28000000,ระยอง,47,สูง,2023-04-30,2024-04-01
PRJ006,โครงการลานจอดรถ ใหม่ 6,ถนน,บริษัท ปตท. จำกัด,ธนา เจริญสุข,2024-12-15,2027-04-07,หยุดชั่วคราว,112000000,ชลบุรี,64,ปานกลาง,2023-03-15,2024-12-20
PRJ007,โครงการโรงเรียน ขยาย 7,อาคารที่พักอาศัย,บริษัท เซ็นทรัลพัฒนา จำกัด,ราชันย์ สุขศรี,2024-01-29,2025-03-18,หยุดชั่วคราว,355000000,ระยอง,69,ปานกลาง,2023-01-17,2024-07-08
PRJ008,โครงการโรงงาน ใหม่ 8,สะพาน,กระทรวงศึกษาธิการ,พจน์ สมบูรณ์,2024-07-21,2027-07-11,เสร็จสิ้น,340000000,ชลบุรี,100,สูงมาก,2024-04-14,2024-08-26
PRJ009,โครงการห้างสรรพสินค้า แห่งที่ 9,อาคารสำนักงาน,กรมทางหลวง,ประเสริฐ แก้วมี,2024-07-04,2025-08-12,ยกเลิก,464000000,ปทุมธานี,25,สูงมาก,2023-05-22,2024-11-11
PRJ010,โครงการโรงงาน แห่งที่ 10,อาคารที่พักอาศัย,กระทรวงศึกษาธิการ,วิชัย รุ่งเรือง,2024-07-14,2026-09-12,วางแผน,310000000,ระยอง,6,ต่ำ,2024-04-24,2024-11-26
